ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
H50,400 series (met 100 m versnelling),,"12x400m T=10km
laatste 100m vers.
P=200m",,,,,
H51,500/300 series ,,"7x500m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,
H52,600 series,,"10x600m T=10km
laatste 200m T=5km
P=200m",,,,,
H53,500m series,,"10x500m T=10km
laatste 100m vers.
P=300m",,,,,
H54,600/300 series,,"7x600m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,
H55,800 series met 200 vlot (intensief),,"8x800m T=10km
laatste 200m T=5km
P=200m ",,,,,
H56,600 series met 100 vlot (intensief),,"10x600m T=10km
laatste 100m vers.
P=200m",,,,,
H57,6x800 en 4x300,,"7x800m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,
H58,1000 series met aanpassing (1),,"7x1000m T=10km
laatste 200m T=5km
P=200m",,,,,
H59,1000/300 series,,"6x1000m  T=-10km
P=300m
SP=300m
5x300m T=5km
 P=100mW",,,,,
H60,2 series 700m,,"7x300m T=+10km P=200m
SP=300m
7x300m T=-10km P=200m",,,,,
H61,2 series 600m,,"6x600m T=+10km P=200m
SP=300m
6x600m T=-10km P=200m",,,,,
H62,2 series 500m,,"7x500m  T=+10km P=200m
SP=300m
7x500m  T=-10km P=200m",,,,,
H63,2 series 400m,,"8x400m T=+10km P=200m
SP= 300m
8x400m T=-10km P=200m",,,,,
H64,2 series 300m,,"7x300m T=+10km P=200m
SP=300m
7x300m T=-10km P=200m",,,,,
H65,6x400 - 12x200 – 1x1000 (op tijd),,"6x400 (laatste 100 vers) - p=300<br>
12x200 – p=200<br>
400-sp<br>
1x1000 op tijd",,,,,
H66,2x (8x200 (200p) – 1x400 (300p)),"200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,400mv,200mp,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5,200mv-100mp-E5",,,,,,
H67,"8x
3:00 min vlot – 1.:30 pauze
Tempo: 5km wedstrijd tempo","18sv-10sp-E5,18sv-9sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,400mv,180sp,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5,180sv-90sp-E5",,,,,,
H68,100 en 300m series intensief,"100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,300mv-400mp-X,300mv-400mp-X,300mv-400mp-X,
100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,100mv-100mp-I,300mv-400mp-X,300mv-400mp-X,300mv-400mp-X,
400mv-400mp-E10,
400mv-400mp-E10","Intensieve interval:
(Clinic doet de interval extensief)

2x ( 8x 100 – 100p 
        3X 300 – 400p)

2x (400 - 400p) 
(1e 200m ext., laatste 200m versnellen)",,,,,
H70,Verheul – 200m series,"200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5,200mv-200mp-E5",,,,,,
H71,Verheul – 400m series,"400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10,400mv-400mp-E10",,,,,,
H72,Verheul – 1000m series,"1000mv-800mp-E21,1000mv-800mp-E21,1000mv-800mp-E21,1000mv-800mp-E21,1000mv-800mp-E21",,,,,,
H73,,"60sv-60sp-X,120sv-120sp-X,120sv-120p-X,180sv-120sp-X,180sv-180sp-X,240sv-180sp-X",,,,,,
H74,,"60sv-60sp-X,120sv-120sp-X,120sv-120sp-X,180sv-120sp-X,180sv-180sp-X,240sv-180sp-X",,,,,,
H75,,"120sv-60sp-X,120sv-120sp-X,120sv-120sp-X,180sv-120sp-X,180sv-120sp-X,240sv-180sp-X",,,,,,
H76,Wandelen,,,,,,,
